key,n,m,mmsp_lb,mmsp_time,mmsp_lp,lp_pc,lp_pc_time,bigm_lp,bigm_lp_time,best_lb,simple_lb
N_m2_makespan_N1a,17,2,90.9090909090909,0.0155525207519531,90.90909090909092,90.90909090909165,0.285205602645874,66.0,0.0466010570526123,90.90909090909165,
N_m2_makespan_N1b,17,2,90.9090909090909,0.0029449462890625,90.90909090909092,90.90909090909092,0.3539526462554931,68.5,0.0465145111083984,90.90909090909092,
N_m2_makespan_N1c,17,2,90.90909090909092,0.0029988288879394,90.9090909090909,90.90909090909092,0.3699560165405273,58.5,0.0459640026092529,90.90909090909092,
N_m2_makespan_N1d,17,2,90.90909090909092,0.003007173538208,90.9090909090909,90.90909090909088,0.3100388050079345,68.5,0.0455188751220703,90.90909090909092,
N_m2_makespan_N1e,17,2,90.9090909090909,0.0029959678649902,90.9090909090909,90.90909090909088,0.3560383319854736,43.0,0.0459227561950683,90.9090909090909,
N_m2_makespan_N2a,25,2,90.9090909090909,0.0040068626403808,90.9090909090909,90.90909090909096,0.5276618003845215,68.5,0.0847742557525634,90.90909090909096,
N_m2_makespan_N2b,25,2,90.90909090909092,0.0009989738464355,90.90909090909088,90.90909090909092,0.558067798614502,56.0,0.0828204154968261,90.90909090909092,
N_m2_makespan_N2c,25,2,90.9090909090909,0.0032801628112792,90.9090909090909,90.909090909091,0.5851123332977295,56.0,0.1013858318328857,90.909090909091,
N_m2_makespan_N2d,25,2,90.9090909090909,0.0029928684234619,90.9090909090909,90.90909090909072,0.5023901462554932,50.5,0.1024847030639648,90.9090909090909,
N_m2_makespan_N2e,25,2,90.90909090909092,0.0039889812469482,90.9090909090909,90.90909090909096,0.5846490859985352,48.0,0.0805294513702392,90.90909090909096,
N_m2_makespan_N3a,29,2,90.9090909090909,0.0059969425201416,90.9090909090909,90.90909090909092,0.8302700519561768,52.0,0.1042759418487548,90.90909090909092,
N_m2_makespan_N3b,29,2,90.90909090909092,0.0030481815338134,90.9090909090909,90.9090909090909,0.7490856647491455,53.5,0.1231088638305664,90.90909090909092,
N_m2_makespan_N3c,29,2,90.91,0.004000186920166,90.9090909090909,90.9090909090909,0.8245902061462402,54.0,0.1278498172760009,90.91,
N_m2_makespan_N3d,29,2,90.9090909090909,0.0029962062835693,90.9090909090909,90.90909090909088,0.6977336406707764,66.0,0.1080658435821533,90.9090909090909,
N_m2_makespan_N3e,29,2,90.9090909090909,0.0019960403442382,90.9090909090909,90.90909090909092,0.8338563442230225,59.5,0.0985431671142578,90.90909090909092,
N_m2_makespan_N4a,49,2,90.90909090909086,0.0030004978179931,90.90909090909092,90.9090909090909,1.3248536586761477,43.0,0.2437686920166015,90.9090909090909,
N_m2_makespan_N4b,49,2,90.90909090909092,0.0006892681121826,90.9090909090909,90.90909090909092,1.0848374366760254,57.5,0.2877023220062256,90.90909090909092,
N_m2_makespan_N4c,49,2,90.90909090909096,0.0039975643157958,90.9090909090909,90.9090909090909,1.5262343883514404,51.0,0.3329648971557617,90.90909090909096,
N_m2_makespan_N4d,49,2,90.90909090909092,0.0030000209808349,90.90909090909092,90.90909090909096,1.2939910888671875,52.5,0.2471630573272705,90.90909090909096,
N_m2_makespan_N4e,49,2,90.91,0.0018515586853027,90.90909090909092,90.90909090909082,1.243894100189209,54.0,0.3734743595123291,90.91,
N_m2_makespan_N5a,73,2,90.90999999999995,0.0025944709777832,90.90909090909092,90.90909090909096,2.1000421047210693,47.0,0.6112232208251953,90.90999999999995,
N_m2_makespan_N5b,73,2,90.90909090909096,0.004500389099121,90.90909090909088,90.90909090909078,1.7638685703277588,45.5,0.6176915168762207,90.90909090909096,
N_m2_makespan_N5c,73,2,90.91,0.0060017108917236,90.90909090909092,90.90909090909096,1.917990684509277,48.0,0.6241154670715332,90.91,
